,Entering passengers,,,,,,,,,Leaving passengers,,,,,,,,
Departure,CS Centrumzijde,Bleekstraat,Sterrenwijk,Rubenslaan,Stadion Galgenwaard,De Kromme Rijn,Padualaan,Heidelberglaan,AZU,CS Centrumzijde,Bleekstraat,Sterrenwijk,Rubenslaan,Stadion Galgenwaard,De Kromme Rijn,Padualaan,Heidelberglaan,AZU
6:00,14,1,1,0,0,1,0,0,0,0,1,1,1,1,1,5,3,5
6:30,65,10,3,2,2,1,1,0,0,0,1,1,9,16,5,5,15,32
6:45,48,2,1,2,1,1,0,0,0,0,1,1,10,14,5,4,6,16
7:00,73,9,1,3,1,1,1,0,0,0,2,1,9,18,4,6,21,27
7:15,86,21,1,2,3,1,1,1,0,0,2,1,7,12,4,11,44,35
7:30,239,57,2,4,4,1,1,1,0,0,8,4,17,35,9,56,101,78
7:45,208,59,2,3,3,2,1,1,0,0,19,6,11,25,7,94,61,55
8:00,631,43,5,12,5,3,1,1,0,0,85,8,19,32,20,208,163,165
8:15,721,23,5,7,10,1,1,1,0,0,70,4,15,23,28,183,240,206
8:30,974,36,9,10,10,3,1,1,0,0,64,6,25,31,31,263,340,283
8:45,365,13,4,5,5,2,1,1,0,0,52,5,34,20,8,102,103,71
9:00,378,9,5,4,5,1,1,1,0,0,49,9,40,24,10,104,96,72
9:15,290,8,2,4,3,1,1,1,0,0,25,5,18,13,9,77,102,62
9:30,236,4,3,5,3,1,1,1,0,0,26,3,18,9,6,73,81,37
9:45,241,8,2,3,3,1,1,1,0,0,32,3,16,8,8,89,65,39
10:00,303,6,3,9,3,2,1,1,0,0,40,3,12,7,12,121,88,43
10:15,372,13,4,4,7,2,1,1,0,0,17,3,9,7,26,126,160,54
10:30,337,10,5,6,9,2,1,1,0,0,27,3,10,5,19,105,155,47
10:45,230,9,4,8,4,5,1,1,0,0,29,4,14,9,9,89,86,22
11:00,134,9,3,3,5,2,1,1,0,0,15,3,10,5,3,62,44,13
11:15,138,5,2,3,4,1,1,1,0,0,15,5,11,4,4,42,63,9
11:30,139,4,1,3,4,2,1,0,0,0,15,4,10,5,4,51,55,11
11:45,117,4,1,2,4,1,1,1,0,0,11,3,10,4,4,48,40,10
12:00,165,4,2,4,4,2,1,1,0,0,16,5,10,9,6,68,57,11
12:15,203,6,2,3,5,2,1,1,0,0,14,4,8,7,12,67,86,24
12:30,380,8,5,6,9,4,2,1,0,0,18,5,14,9,31,127,175,37
12:45,232,5,5,5,7,6,1,1,0,0,14,4,10,7,14,89,102,22
13:00,153,4,4,4,7,3,1,1,0,0,8,4,13,15,5,67,49,14
13:15,117,3,2,2,3,1,1,1,0,0,6,4,9,7,5,37,48,15
13:30,96,3,2,2,4,1,1,1,0,0,8,3,10,7,4,33,31,13
13:45,73,2,1,2,3,1,1,1,0,0,6,3,8,5,3,24,24,11
14:00,76,3,1,4,3,1,1,1,0,0,6,3,8,7,5,24,26,12
14:15,134,4,2,3,4,1,1,1,0,0,8,4,9,4,12,33,63,15
14:30,143,5,2,6,4,2,1,1,0,0,6,4,8,10,13,31,68,25
14:45,91,5,2,4,4,2,1,1,0,0,5,3,8,4,9,26,38,15
15:00,70,4,2,3,3,5,1,1,0,0,6,4,9,6,4,21,27,13
15:15,55,3,1,2,2,2,1,1,0,0,5,3,8,4,1,18,19,8
15:30,45,4,1,2,2,2,1,0,0,0,4,4,7,4,2,14,14,7
15:45,71,4,1,3,3,2,1,1,0,0,6,5,10,14,2,15,19,15
16:00,37,3,1,2,2,2,1,1,0,0,3,3,7,3,2,10,10,12
16:15,71,4,2,3,3,2,1,1,0,0,6,6,10,10,4,16,18,15
16:30,67,5,2,3,4,2,1,1,0,0,5,4,8,11,4,19,24,10
16:45,65,4,2,3,4,8,3,1,0,0,4,5,9,11,3,19,27,11
17:00,36,2,1,2,3,5,1,0,0,0,3,3,6,6,3,8,16,7
17:15,82,3,2,3,4,2,1,1,0,0,6,6,13,19,4,12,23,16
17:30,33,2,2,1,2,1,1,0,0,0,3,4,8,4,3,5,10,4
17:45,48,2,2,2,2,1,1,1,0,0,5,6,10,5,3,8,14,7
18:00,36,2,1,4,2,1,1,1,0,0,4,5,7,9,3,4,12,3
18:15,24,1,1,2,1,1,0,1,0,0,3,4,5,3,2,4,8,2
18:30,30,1,1,2,1,1,0,0,0,0,3,4,6,6,3,2,10,3
18:45,23,2,1,1,1,0,1,0,0,0,4,4,6,4,1,2,6,1
19:00,33,1,1,2,1,1,0,0,0,0,3,5,11,6,2,2,8,2
19:15,21,1,1,1,1,1,0,1,0,0,3,3,6,4,2,1,6,1
19:30,17,1,1,1,1,0,0,0,0,0,2,3,6,2,1,1,4,1
19:45,14,1,1,1,1,1,0,0,0,0,2,3,4,2,2,1,4,1
20:00,15,1,1,1,1,1,0,0,0,0,2,3,6,2,1,1,5,1
20:15,9,1,1,1,1,0,0,0,0,0,1,2,4,1,1,1,3,1
20:30,11,1,1,1,1,0,0,0,0,0,1,3,4,2,1,1,4,1
20:45,9,1,1,1,1,1,0,0,0,0,1,2,3,1,1,1,4,1
21:00,10,1,1,1,1,1,1,0,0,0,2,2,4,2,1,1,3,1
