,lognormal,gamma,normal,weibull,biclognormal,bicgamma,bicnormal,bicweibull
Graadt.van.Roggenweg,0.079024693,0.063634799,0.130258936,0.251851687,10228.68286,10089.15631,10728.3436,11166.77961
X24.Oktoberplein,0.098795474,0.090276206,0.116408176,0.222311646,9666.079863,9601.35426,9822.282966,10596.81608
X5.Meiplein,0.126637172,0.135851397,0.115207141,0.235637521,7269.931271,7366.509237,7192.872226,7950.765975
Vasco.da.Gamalaan,0.09497836,0.106267846,0.097857683,0.220974888,8756.182706,8859.881696,8708.067289,9498.172711
Kanaleneiland.Zuid,0.145372802,0.136652952,0.162060494,0.258956739,8569.95033,8480.942556,8780.067798,9661.403982
P.R.Westraven,0.233599814,0.208770116,0.284450402,0.35084706,10130.89735,9808.862408,10881.22154,11450.22849
Zuilenstein,0.24899533,0.27087995,0.213689655,0.245386722,11554.28772,11833.10615,11250.96862,11428.667
Batau.Noord,0.362753191,0.378990799,0.321775478,0.334199113,11542.91074,11826.96735,11106.43759,11192.22853
Wijkersloot,0.157089818,0.150600443,0.170528762,0.230862368,7621.84427,7592.693867,7705.184609,8299.321133
Stadscentrum,0.297631873,0.274753605,0.335985669,0.326643325,11833.16216,11572.09424,12404.74406,12504.69021
Merwestein,0.10447675,0.093579458,0.126253749,0.284265504,8932.072348,8822.435464,9234.455951,10184.09461
Fokkesteeg,0.099464178,0.104357973,0.090255525,0.122800815,7912.365458,7920.633389,7907.609729,8227.258837
Wiersdijk,0.105718536,0.107166792,0.105322583,0.264310961,7384.734735,7367.228356,7450.800867,8510.986766
Nieuwegein.Zuid,0.223100363,0.211861056,0.258702823,0.257388055,11662.1622,11815.74301,11670.75852,11791.36889
AVERAGE,0.169831311,0.166688814,0.180625505,0.2576026,9504.661715,9496.972021,9631.701098,10175.91306
