,Entering passengers,,,,,,,,,,New stops,,,,,,,,,,New Stops Factor,,,,,,,,
Departure,AZU,Heidelberglaan,Padualaan,De Kromme Rijn,Stadion Galgenwaard,Rubenslaan,Sterrenwijk,Bleekstraat,CS Centrumzijde,,P+R,WKZ,AZU,Heidelberglaan,Padualaan,De Kromme Rijn,Stadion Galgenwaard,Vaartsche rijn,Centraal Station,,P+R,WKZ,AZU,Heidelberglaan,Padualaan,De Kromme Rijn,Stadion Galgenwaard,Vaartsche rijn,Centraal Station
6:00,1,2,1,1,1,1,1,2,0,,0,0,1,2,1,1,2,3,0,,0,0,3,6,3,3,6,9,0
6:30,1,4,0,1,2,3,1,2,0,,0,0,1,4,0,1,5,3,0,,0,0,3,11,0,3,14,9,0
6:45,1,4,0,1,2,4,2,1,0,,0,1,1,4,0,1,6,3,0,,0,3,3,11,0,3,17,9,0
7:00,2,4,1,2,1,2,1,3,0,,0,1,4,4,1,2,3,4,0,,0,3,11,11,3,6,9,11,0
7:15,5,9,2,2,1,6,2,3,0,,0,3,8,9,2,2,7,5,0,,0,9,22,25,6,6,19,14,0
7:30,11,12,2,3,4,12,4,4,0,,0,5,13,12,2,3,16,8,0,,0,14,36,33,6,9,44,22,0
7:45,18,12,2,3,3,13,5,8,0,,0,3,9,12,2,3,16,13,0,,0,9,25,33,6,9,44,36,0
8:00,12,10,2,2,4,8,3,7,0,,0,7,19,10,2,2,12,10,0,,0,19,52,27,6,6,33,27,0
8:15,27,13,3,2,5,9,4,8,0,,0,5,14,13,3,2,14,12,0,,0,14,38,36,9,6,38,33,0
8:30,19,13,3,3,5,9,4,6,0,,0,6,17,13,3,3,14,10,0,,0,17,46,36,9,9,38,27,0
8:45,24,10,3,1,2,6,2,2,0,,0,4,9,10,3,1,8,4,0,,0,11,25,27,9,3,22,11,0
9:00,13,8,2,2,2,6,2,5,0,,0,3,7,8,2,2,8,7,0,,0,9,19,22,6,6,22,19,0
9:15,10,8,2,2,2,5,2,3,0,,0,4,9,8,2,2,7,5,0,,0,11,25,22,6,6,19,14,0
9:30,13,9,3,1,2,5,2,3,0,,0,4,9,9,3,1,7,5,0,,0,11,25,25,9,3,19,14,0
9:45,13,16,6,3,3,6,2,4,0,,0,2,4,16,6,3,9,6,0,,0,6,11,44,17,9,25,17,0
10:00,6,14,7,2,3,7,2,4,0,,0,4,9,14,7,2,10,6,0,,0,11,25,38,19,6,27,17,0
10:15,13,15,18,2,3,7,2,2,0,,0,9,23,15,18,2,10,4,0,,0,25,63,41,49,6,27,11,0
10:30,32,50,40,6,5,10,2,8,0,,0,5,13,50,40,6,15,10,0,,0,14,36,135,108,17,41,27,0
10:45,18,103,27,22,4,6,2,5,0,,0,4,10,103,27,22,10,7,0,,0,11,27,279,73,60,27,19,0
11:00,14,54,23,14,5,8,2,6,0,,0,2,6,54,23,14,13,8,0,,0,6,17,146,63,38,36,22,0
