,Entering passengers,,,,,,,,,,,,,,,,,,,,plus factor,,,,,,,,
Departure,CS Centrumzijde,Bleekstraat,Sterrenwijk,Rubenslaan,Stadion Galgenwaard,De Kromme Rijn,Padualaan,Heidelberglaan,AZU,,Centraal Station,Vaartsche rijn,Station Galgenwaard,De Kromme rijn,Padualaan,Heidelberglaang,AZU,WKZ,P+R,,Centraal Station,Vaartsche rijn,Station Galgenwaard,De Kromme rijn,Padualaan,Heidelberglaang,AZU,WKZ,P+R
6:00,14,1,1,0,0,1,0,0,0,,14,2,0,1,0,0,0,0,0,,31,5,0,3,0,0,0,0,0
6:30,65,10,3,2,2,1,1,0,0,,65,13,4,1,1,0,0,0,0,,143,29,9,3,3,0,0,0,0
6:45,48,2,1,2,1,1,0,0,0,,48,3,3,1,0,0,0,0,0,,106,7,7,3,0,0,0,0,0
7:00,73,9,1,3,1,1,1,0,0,,73,10,4,1,1,0,0,0,0,,161,22,9,3,3,0,0,0,0
7:15,86,21,1,2,3,1,1,1,0,,86,22,5,1,1,1,0,0,0,,190,49,11,3,3,3,0,0,0
7:30,239,57,2,4,4,1,1,1,0,,239,59,8,1,1,1,0,0,0,,526,130,18,3,3,3,0,0,0
7:45,208,59,2,3,3,2,1,1,0,,208,61,6,2,1,1,0,0,0,,458,135,14,5,3,3,0,0,0
8:00,631,43,5,12,5,3,1,1,0,,631,48,17,3,1,1,0,0,0,,1389,106,38,7,3,3,0,0,0
8:15,721,23,5,7,10,1,1,1,0,,721,28,17,1,1,1,0,0,0,,1587,62,38,3,3,3,0,0,0
8:30,974,36,9,10,10,3,1,1,0,,974,45,20,3,1,1,0,0,0,,2143,99,44,7,3,3,0,0,0
8:45,365,13,4,5,5,2,1,1,0,,365,17,10,2,1,1,0,0,0,,803,38,22,5,3,3,0,0,0
9:00,378,9,5,4,5,1,1,1,0,,378,14,9,1,1,1,0,0,0,,832,31,20,3,3,3,0,0,0
9:15,290,8,2,4,3,1,1,1,0,,290,10,7,1,1,1,0,0,0,,638,22,16,3,3,3,0,0,0
9:30,236,4,3,5,3,1,1,1,0,,236,7,8,1,1,1,0,0,0,,520,16,18,3,3,3,0,0,0
9:45,241,8,2,3,3,1,1,1,0,,241,10,6,1,1,1,0,0,0,,531,22,14,3,3,3,0,0,0
10:00,303,6,3,9,3,2,1,1,0,,303,9,12,2,1,1,0,0,0,,667,20,27,5,3,3,0,0,0
10:15,372,13,4,4,7,2,1,1,0,,372,17,11,2,1,1,0,0,0,,819,38,25,5,3,3,0,0,0
10:30,337,10,5,6,9,2,1,1,0,,337,15,15,2,1,1,0,0,0,,742,33,33,5,3,3,0,0,0
10:45,230,9,4,8,4,5,1,1,0,,230,13,12,5,1,1,0,0,0,,506,29,27,11,3,3,0,0,0
11:00,134,9,3,3,5,2,1,1,0,,134,12,8,2,1,1,0,0,0,,295,27,18,5,3,3,0,0,0
11:15,138,5,2,3,4,1,1,1,0,,138,7,7,1,1,1,0,0,0,,304,16,16,3,3,3,0,0,0
11:30,139,4,1,3,4,2,1,0,0,,139,5,7,2,1,0,0,0,0,,306,11,16,5,3,0,0,0,0
11:45,117,4,1,2,4,1,1,1,0,,117,5,6,1,1,1,0,0,0,,258,11,14,3,3,3,0,0,0
12:00,165,4,2,4,4,2,1,1,0,,165,6,8,2,1,1,0,0,0,,363,14,18,5,3,3,0,0,0
12:15,203,6,2,3,5,2,1,1,0,,203,8,8,2,1,1,0,0,0,,447,18,18,5,3,3,0,0,0
12:30,380,8,5,6,9,4,2,1,0,,380,13,15,4,2,1,0,0,0,,836,29,33,9,5,3,0,0,0
12:45,232,5,5,5,7,6,1,1,0,,232,10,12,6,1,1,0,0,0,,511,22,27,14,3,3,0,0,0
13:00,153,4,4,4,7,3,1,1,0,,153,8,11,3,1,1,0,0,0,,337,18,25,7,3,3,0,0,0
13:15,117,3,2,2,3,1,1,1,0,,117,5,5,1,1,1,0,0,0,,258,11,11,3,3,3,0,0,0
13:30,96,3,2,2,4,1,1,1,0,,96,5,6,1,1,1,0,0,0,,212,11,14,3,3,3,0,0,0
13:45,73,2,1,2,3,1,1,1,0,,73,3,5,1,1,1,0,0,0,,161,7,11,3,3,3,0,0,0
14:00,76,3,1,4,3,1,1,1,0,,76,4,7,1,1,1,0,0,0,,168,9,16,3,3,3,0,0,0
